200 100
1 1 27.237475252183913
1 2 -5.689007142530642
1 3 -66.56075812329544
1 4 -18.59091425526789
1 5 92.04349097795918
1 6 -4.636634971815795
1 7 -77.60669391060897
1 8 0.2678980034799281
1 9 -87.98146525628727
1 10 41.106389136511524
1 11 87.23135287449853
1 12 -72.21051049063729
1 13 -46.80295711590763
1 14 96.09160392513942
1 15 -70.17433885298323
1 16 -45.78533846981916
1 17 -21.04100245794062
1 18 24.827118082692195
1 19 0.6681911819519826
1 20 -4.1611934650898945
1 21 19.70533451526049
1 22 -12.629809439355071
1 23 -38.59761176836252
1 24 -72.05752930381732
1 25 0.3811842619459753
1 26 94.35469436913962
1 27 -37.416230899579574
1 28 -10.828094309507534
1 29 61.7572952104843
1 30 9.435842611520215
1 31 -77.42680835879108
1 32 33.29388623423344
1 33 26.12282032522411
1 34 67.19762301875264
1 35 -20.464708148840145
1 36 73.42092851090553
1 37 78.73017929074771
1 38 -85.23068988148643
1 39 -87.09638199506513
1 40 55.763129499382416
1 41 13.067770313125848
1 42 15.184332592273634
1 43 -96.65907656149724
1 44 44.98948843421201
1 45 31.435450849094906
1 46 -62.85599945442315
1 47 -60.292859564188774
1 48 -56.19914075551644
1 49 -24.47781075114888
1 50 19.41549303770485
1 51 -81.3241404068261
1 52 -11.849188660856
1 53 -72.40380832710144
1 54 -97.23088612749405
1 55 12.388195055540251
1 56 63.61971548646335
1 57 -74.631341953066
1 58 55.6972806805648
1 59 -89.77339004821805
1 60 -53.4846921899371
1 61 38.81626298576987
1 62 25.21119054948487
1 63 -52.16089507749586
1 64 52.36504096516592
1 65 77.38073014989664
1 66 -82.04821796266071
1 67 -35.879644039175986
1 68 -9.027663316778359
1 69 27.768427523563147
1 70 94.17388119318628
1 71 25.67229968779931
1 72 -39.77902832898044
1 73 76.61763926372277
1 74 47.082840172478996
1 75 16.564740451279647
1 76 8.396418738168393
1 77 -29.115354203515054
1 78 56.838656058346345
1 79 17.064466668915486
1 80 -63.32013460665855
1 81 8.698853977418082
1 82 -33.18002921156966
1 83 79.5494775306075
1 84 -96.69813493502272
1 85 2.0540463251768983
1 86 -74.67059095866131
1 87 -4.016732638406211
1 88 64.99590760071217
1 89 -16.301232507677724
1 90 35.333703100029425
1 91 69.46232170103431
1 92 -2.7864163562501147
1 93 46.57386167440026
1 94 45.98186791134171
1 95 85.60337137614684
1 96 -39.09636622106345
1 97 -98.65481350149719
1 98 76.03821568226533
1 99 -35.74468217790454
1 100 78.07957295921526
2 1 -82.4549226287665
2 2 -42.67410643219729
2 3 71.82695062037385
2 4 -2.925132345690116
2 5 -16.3621315728043
2 6 -19.121399842080194
2 7 53.79261841036612
2 8 14.489655859490952
2 9 49.393306329999064
2 10 -96.62419165398919
2 11 3.8401298874560723
2 12 -64.95046436248542
2 13 14.918686335945225
