100 200
1 1 80.32402058753877
1 2 95.87341102031351
1 3 49.53100840369635
1 4 -33.3275287982173
1 5 -55.83168796176003
1 6 66.7263407160207
1 7 -54.81802707584282
1 8 -56.31625939090388
1 9 87.21755608707346
1 10 5.776230114712689
1 11 -68.6872453259871
1 12 47.219150183221245
1 13 64.10155047491224
1 14 -48.26779298411543
1 15 93.85540471928536
1 16 95.62772966687172
1 17 -53.03991710193215
1 18 -16.72147269639332
1 19 -18.27848520581621
1 20 -27.73727150545642
1 21 93.27499352451883
1 22 -70.52407145166582
1 23 91.88961651328626
1 24 46.24007009211567
1 25 40.93668324169758
1 26 -33.026887182324046
1 27 69.95972080926686
1 28 65.37186168303722
1 29 45.54636934018325
1 30 94.75400999369418
1 31 -67.91023406056848
1 32 -37.49531204986152
1 33 26.494705498899762
1 34 61.39316715139353
1 35 -70.24953974386632
1 36 87.38683578587225
1 37 -95.14632638791052
1 38 88.4667019182119
1 39 -64.11572671412367
1 40 -48.607538130167384
1 41 50.16450656901662
1 42 42.00959595450371
1 43 -55.371717346380265
1 44 -65.37237501752378
1 45 -37.92794553282739
1 46 -10.806136105799766
1 47 -33.58562894608616
1 48 -66.13236941559236
1 49 -27.823431007606246
1 50 34.63009577431828
1 51 72.05861048054805
1 52 40.35971808025985
1 53 80.46876326544162
1 54 -30.91422743071415
1 55 -11.373700388918877
1 56 98.80737200328832
1 57 -7.773233683101964
1 58 -3.4433632719329808
1 59 -18.28134133701755
1 60 -78.99225606380678
1 61 -6.028505730509153
1 62 24.57343532018936
1 63 79.93918621593286
1 64 -11.950138229291113
1 65 31.331430037286054
1 66 -16.922452434620368
1 67 62.08691648768246
1 68 88.99475322194345
1 69 48.592082430008816
1 70 11.443062273340445
1 71 75.87432055408641
1 72 -47.842931261649404
1 73 -79.74187742628453
1 74 -4.733859016726697
1 75 59.87624229139851
1 76 -57.948696497899796
1 77 18.101017903599214
1 78 31.151382687163533
1 79 11.34042818558028
1 80 -11.010679414503201
1 81 -2.829756220634465
1 82 -29.473229235219762
1 83 -75.5103087047772
1 84 30.209998360220766
1 85 -82.43877477955526
1 86 75.81587252158045
1 87 68.37153212539485
1 88 61.046363295302655
1 89 -16.22028973641258
1 90 -20.330964310514915
1 91 94.7283233150452
1 92 -11.154627702669217
1 93 -75.86785535001434
1 94 -79.78660320367135
1 95 0.7593026392684834
1 96 -74.65467222620346
1 97 30.65439594293312
1 98 -97.17174730155406
1 99 -36.88546900710723
1 100 -26.711932364050767
1 101 -92.92848918853282
1 102 69.96597402105093
1 103 18.09098093973121
1 104 -46.085911243818046
1 105 -27.408558849390417
1 106 -17.49473331671898
1 107 91.5685421773182
1 108 -83.19909195093895
1 109 -24.267665888804558
1 110 10.200276157031212
1 111 28.166963255465248
1 112 -87.08263799617215
1 113 73.8389546693991
1 114 -89.01751608495107
1 115 -58.36696993215047
1 116 -88.22959726009607
1 117 63.60075910260301
1 118 78.4104927730109
1 119 20.102418473139977
1 120 -10.008848207456111
1 121 17.828040545611074
1 122 -0.11546386533964892
1 123 55.679292876293175
1 124 -21.157103232152167
1 125 78.42068499588837
1 126 94.53170926122976
1 127 -34.94965107882366
1 128 -22.264621534481634
1 129 67.64123370396194
1 130 1.7970579136556495
1 131 -55.89056455779276
1 132 99.08560862984851
1 133 -80.26311474129042
1 134 -16.205980894495383
1 135 -87.17328767669461
1 136 -38.3835844283204
1 137 34.944725251064824
1 138 -45.22408967228859
1 139 99.46466090258443
1 140 95.84973214410729
1 141 7.192030019461626
1 142 64.59324337656716
1 143 68.99527544653162
1 144 96.76274759447975
1 145 0.5045598510592839
1 146 1.325173682735084
1 147 1.2772764729660082
1 148 -28.413167903923096
1 149 -30.98304567257611
1 150 -6.566859951439284
1 151 -89.40434310663366
1 152 -37.65144732679629
1 153 -69.92325774903092
1 154 11.966578639981137
1 155 28.395902415467333
1 156 84.22117097762958
1 157 90.0848576019703
1 158 47.804437744729114
1 159 -4.879544214293645
1 160 -25.027509348101646
1 161 97.6228721944255
1 162 63.385423808370234
1 163 -10.085306389790816
1 164 -51.38865601590599
1 165 -29.15421470663655
1 166 59.32256161013609
1 167 -30.70519856068121
1 168 -17.694311108023925
1 169 25.64941927373681
1 170 47.07833731356496
1 171 86.90784675196565
1 172 -71.21806955976957
1 173 82.49076953697968
1 174 -25.92689258168039
1 175 6.194881827037889
1 176 11.474241228140386
1 177 -92.8421729488827
1 178 74.80455965141141
1 179 9.70466489537958
1 180 -33.45685953554354
1 181 -94.07597424608596
1 182 74.00437488443029
1 183 99.43109637553152
1 184 38.97843749726357
1 185 -17.756044854671956
1 186 -27.636860488080472
1 187 -16.451417360365838
1 188 32.62588772916692
1 189 -32.049396255651374
1 190 -56.30288009854196
1 191 -43.37740138605501
1 192 -40.69475520329906
1 193 25.98530592518145
1 194 -17.628084402696317
1 195 -54.28104311303616
1 196 67.71724294706667
1 197 -81.95520567907555
1 198 76.0132894490763
1 199 -5.468811482853766
1 200 -62.60703209977263
2 1 -98.78679802262917
2 2 -20.98903869106701
2 3 -65.56183179414963
2 4 78.87206981598075
2 5 24.43807127655684
2 6 59.99588572112239
2 7 -45.05064137468007
2 8 -55.60945976990301
2 9 12.669522514751534
2 10 49.71021947576628
2 11 -86.26672191623415
2 12 -19.61618366402324
2 13 -50.567699414402
2 14 -6.1615541094383985
2 15 16.04330803279356
2 16 54.8811372378062
2 17 38.94914476033318
2 18 -8.36378600725962
2 19 14.09209664970416
2 20 53.63340821005039
2 21 91.13982007722595
2 22 42.62345766302704
2 23 89.12551003976287
2 24 -56.27677738744068
2 25 -69.78078935028371
2 26 57.90836007702035
2 27 64.7763946839525
2 28 -35.03947095209672
2 29 -8.518540336703822
2 30 -11.74040892193851
2 31 73.19050976723906
2 32 88.70098058720137
2 33 63.10436462705141
2 34 59.920224692861495
2 35 95.95783166337893
2 36 -72.07037180079108
2 37 -75.06793177965267
2 38 73.70105133596613
2 39 -77.17257119772427
2 40 94.11090357751743
2 41 -22.107563077335143
2 42 -58.47130139553875
2 43 -9.778661414481846
2 44 84.17398876868077
2 45 46.90890802359792
2 46 1.4426963267361685
2 47 68.94362352840793
2 48 -2.733121869206471
2 49 -40.98661708987705
2 50 -46.647438725287515
2 51 -4.072133582608799
2 52 86.73189140615085
2 53 0.30169620525740015
2 54 63.006216789838845
2 55 31.876100487040247
2 56 -7.226214950440848
2 57 23.83156960263277
2 58 -18.432029652679475
2 59 21.26137742915455
2 60 22.885313234154964
2 61 -65.81618293491127
2 62 80.76088577547151
2 63 46.89165449082296
2 64 -46.367451615064304
2 65 25.585165727661234
2 66 -58.09933574853849
2 67 96.28734468168489
2 68 2.923013083293597
2 69 -7.662543373643601
2 70 -76.44405889787876
2 71 -52.75587425569459
2 72 71.11343468800001
2 73 37.977426249565895
2 74 95.92371031431469
2 75 -25.795234534851758
2 76 -33.52218526993333
2 77 55.262549614069
2 78 -22.202407796738925
2 79 12.341161052438324
2 80 98.85389822391116
2 81 17.65401999419909
2 82 -58.80332315761792
2 83 -60.68813674032474
2 84 -51.20848288988695
2 85 8.400433893059287
2 86 91.54861886643678
2 87 -17.997648270331126
2 88 19.86747271746559
2 89 55.117733651312506
2 90 1.6620627063888946
2 91 -54.08742016239538
2 92 -55.26310693751573
2 93 3.8262230244082645
2 94 6.629500212633559
2 95 -14.17210768046857
2 96 -41.28720265720105
2 97 88.20230722953337
2 98 41.200762561935676
2 99 -97.78914591202795
2 100 41.31623169655353
2 101 -99.73178561060591
2 102 97.954750716783
2 103 16.27888643368513
2 104 -40.06661333456818
2 105 -59.71782853985383
2 106 -19.015701301126796
2 107 -29.798445982846317
2 108 46.37681188535004
2 109 32.51776347908674
2 110 34.21683156345506
2 111 67.40980750588602
2 112 56.356762718458185
2 113 39.91457181820758
2 114 -93.52182830593931
2 115 86.04008323915471
2 116 31.684735250977468
2 117 46.29203790913323
2 118 -24.58028902434974
2 119 -88.72473253610404
2 120 -45.434888427206886
2 121 -80.37550919313001
2 122 -62.0211076177793
2 123 -26.883263000363343
2 124 45.02769739180869
2 125 -82.97883966341146
2 126 -5.827890627023933
2 127 60.86636661653222
2 128 -61.08336061918547
2 129 30.009519244290402
2 130 -61.062764309144654
2 131 84.47631715068809
2 132 20.324982442192095
2 133 -18.17183005559248
2 134 -10.203582797510208
2 135 39.71624619939661
2 136 47.7857226669058
2 137 -22.32909427841227
2 138 -16.51400476484794
2 139 63.02524978803609
2 140 -8.703042960874868
2 141 -62.85129984091324
2 142 -95.23364633944449
2 143 -47.48331116848856
2 144 -58.321964865507624
2 145 52.18676362399731
2 146 -3.4242629023007396
2 147 52.3832036231386
2 148 15.944468422647248
2 149 30.478061468843435
2 150 -24.591194734059755
2 151 -22.88613836193447
2 152 -44.1698425873877
2 153 -63.885894669811336
2 154 3.1952458048770467
2 155 -5.758823880243398
2 156 4.086074604346649
2 157 97.58464836865886
2 158 16.60564346062887
2 159 52.884499433556385
2 160 -51.585144152775975
2 161 -67.01242431791104
2 162 -28.10479248407927
2 163 78.7966313191389
2 164 85.95439253241463
2 165 56.1055492510732
2 166 46.085260444391025
2 167 -90.02526747646039
2 168 -46.800904274316444
2 169 74.96838775513314
2 170 31.385587058900654
2 171 -26.627932259765004
2 172 62.8366898350734
2 173 -35.7661003603841
2 174 -47.97342950396193
2 175 29.314156827648844
2 176 -15.246377579637738
2 177 21.14994989909387
2 178 83.37368529501757
2 179 -97.949051613337
2 180 -56.81680630095662
2 181 85.14792319253627
2 182 -33.13512065562061
2 183 68.51695132099076
2 184 -40.0384136868311
2 185 -84.7632850877913
2 186 -1.461278087852719
2 187 10.253976012657745
2 188 -59.3275302594487
2 189 23.77234062665488
2 190 47.65971191379268
2 191 19.22205659141538
2 192 -37.55320657434895
2 193 -91.7805225959992
2 194 24.329929649771785
2 195 -83.23665096337058
2 196 10.244994530742318
2 197 71.30980776081407
2 198 19.538725239831578
2 199 -2.3541959166562947
2 200 10.847147232522914
3 1 65.92454327699392
3 2 24.590357197367624
3 3 -53.57368604432005
3 4 18.438574207318027
3 5 13.100188253117068
3 6 68.0671541660625
3 7 90.74735825750454
3 8 98.52521457684458
3 9 -41.50947497407556
3 10 48.51700879060783
3 11 89.33901907429589
3 12 -54.66078940592878
3 13 78.01137629268956
3 14 -59.79938904791173
3 15 -67.82532672142736
3 16 80.52467810364459
3 17 83.14387136890781
3 18 -82.46728904565641
3 19 31.48651846704874
3 20 52.47916249015009
3 21 13.294652333320073
3 22 -91.2164076700068
3 23 46.703624475588356
3 24 -28.700927577588516
3 25 4.445144122847225
3 26 32.39578971011068
3 27 57.991832796979395
3 28 67.78127389338894
3 29 -27.306259385769778
3 30 88.26974349808961
3 31 12.518331858170214
3 32 65.58003389948178
3 33 -91.87763608639673
3 34 77.64481087945487
3 35 -2.0100574164348046
3 36 35.345570833180176
3 37 -9.259253965216118
3 38 -93.93709991637903
3 39 -51.61638819302799
3 40 9.26750204157814
3 41 -23.35214567031781
3 42 76.64870475437075
3 43 69.83808038264928
3 44 -44.57256473317168
3 45 92.5627673298165
3 46 53.1204460373107
3 47 -9.085231848473782
3 48 81.42112717169036
3 49 81.27337280998873
3 50 93.67400359863086
3 51 92.06496179487368
3 52 -75.89729021989979
3 53 46.233937292216865
3 54 -76.96874762502108
3 55 -54.172105726480815
3 56 87.4792735038314
3 57 -23.538291135775793
3 58 -9.221571612546882
3 59 87.97593691943021
3 60 91.62713754113236
3 61 -95.98908664826189
3 62 78.96499918225408
3 63 -39.71761273729082
3 64 2.005812040392982
3 65 -70.38468229787267
3 66 -65.83389311099319
3 67 -18.712325319422533
3 68 -6.785921800449032
3 69 54.83280290436281
3 70 -22.93431295952051
3 71 75.84687020649886
3 72 59.23902467341077
3 73 -57.508170157925505
3 74 24.656436374709727
3 75 7.8209568694041
3 76 -77.26946590646355
3 77 -85.41063888141241
3 78 -71.08003426875761
3 79 79.56135947939086
3 80 83.84206361259965
3 81 -81.00166945591391
3 82 -20.833067485182227
3 83 84.52335215328958
3 84 -58.09863323765128
3 85 56.19854200226939
3 86 -24.724727299971235
3 87 -65.48270802989471
3 88 -30.39560161503249
3 89 -70.3710492890174
3 90 -87.35325385075605
3 91 -95.84857468563352
3 92 -73.62033970365121
3 93 85.4861791022764
3 94 72.06902292523901
3 95 -24.311538839889053
3 96 42.94222617584006
3 97 -75.75448803406128
3 98 -11.62822982516667
3 99 30.742511402328773
3 100 -65.12121596271982
3 101 79.71649811608404
3 102 -86.20989830276812
3 103 -23.937171382423884
3 104 -18.75193023661923
3 105 -31.815503097047554
3 106 46.37910058356252
3 107 9.67064603285175
3 108 -11.309682433911831
3 109 -3.7398048472345238
3 110 40.033024856443745
3 111 -52.81842622680444
