200 200
1 1 47882.9
1 2 -41144.2
1 3 32833.1
1 4 -11710.3
1 5 25270.9
1 6 40212
1 7 -7739
1 8 28890.3
1 9 45611.3
1 10 -58577.3
1 11 15778.6
1 12 -11706.6
1 13 -20282.9
1 14 -55114.8
1 15 9993.85
1 16 -33978.3
1 17 9143.19
1 18 48136.7
1 19 60966.9
1 20 17545.1
1 21 -7098.09
1 22 4593.6
1 23 47706.6
1 24 25328.1
1 25 -9409.84
1 26 -2248.35
1 27 -1280.77
1 28 56408
1 29 53801.3
1 30 30869.1
1 31 -3750.44
1 32 -48476.7
1 33 -67717.7
1 34 -14327.7
1 35 -7472.02
1 36 19637.6
1 37 -27478.9
1 38 15794.6
1 39 -29571.8
1 40 -6641.03
1 41 -12708
1 42 -7726.83
1 43 -37875.2
1 44 -1310.76
1 45 -8918.07
1 46 -12389.3
1 47 24649.9
1 48 2477.85
1 49 -27531.3
1 50 9013.82
1 51 48967.4
1 52 19354.7
1 53 19604.4
1 54 24573.8
1 55 13357
1 56 53994.1
1 57 -34046
1 58 30548
1 59 -7277.13
1 60 10515.5
1 61 -32901.4
1 62 -22793.1
1 63 15291.5
1 64 2507.65
1 65 -14686.6
1 66 -6299.29
1 67 34690.6
1 68 -25567.6
1 69 48396.6
1 70 663.989
1 71 -7576.38
1 72 -31628.3
1 73 26066.2
1 74 -10756.6
1 75 24361.9
1 76 -42677.8
1 77 -12461.4
1 78 24056.3
1 79 36417.7
1 80 -85218.5
1 81 -49264.6
1 82 35040.1
1 83 3577.67
1 84 37764.5
1 85 10057.1
1 86 -2184.16
1 87 -12384.3
1 88 -17730.3
1 89 19260.2
1 90 -18476.6
1 91 35874.8
1 92 4867.02
1 93 7039.3
1 94 25014.2
1 95 25334.9
1 96 -19187.7
1 97 17350.1
1 98 54604.7
1 99 -22758
1 100 -19156.5
1 101 -24192
1 102 52112.6
1 103 -17733.2
1 104 -6231.43
1 105 35162.8
1 106 3194.85
1 107 10261
1 108 -1120.74
1 109 10590.4
1 110 3505.05
1 111 -6712.86
1 112 -23503.7
1 113 36328.8
1 114 -64052.3
1 115 48354.9
1 116 33148.3
1 117 2168.26
1 118 -14218
1 119 -23784.6
1 120 56771.2
1 121 20204.2
1 122 -20480.8
1 123 -63538.4
1 124 -59590.4
1 125 -4621.45
1 126 19686.6
1 127 44616.9
1 128 -15130.1
1 129 3900.33
1 130 22459.3
1 131 -15754.8
1 132 -38206.6
1 133 -15261.1
1 134 -60667.7
1 135 22227.6
1 136 37551.3
1 137 -93800
1 138 5325.25
1 139 -5037.45
1 140 -6839.57
1 141 -7557.51
1 142 -24149
1 143 -7194.82
1 144 -6096.18
1 145 -20558.9
1 146 12461.7
1 147 3854.96
1 148 3141.55
1 149 12251.8
1 150 -19912.6
1 151 821.643
1 152 -43215.8
1 153 -43543.6
1 154 -24225
1 155 40831.4
1 156 -44902.2
1 157 -9529.45
1 158 5994.25
1 159 -1816.43
1 160 76336.8
1 161 4463.06
1 162 -1394.55
1 163 27568.8
1 164 -29385.6
1 165 -19216.2
1 166 -4231.1
1 167 28565.6
1 168 -30194.3
1 169 -48841.8
1 170 -6231.92
1 171 22942
1 172 -17981.3
1 173 25823.6
1 174 -1989.6
1 175 -17303.4
1 176 14078.1
1 177 -22336.4
1 178 19591.9
1 179 -5084.23
1 180 19828.6
1 181 -48460.2
1 182 66862.9
1 183 21787.2
1 184 -10287.6
1 185 19326.7
1 186 -29468.5
1 187 -33558.7
1 188 -12073.8
1 189 14013.1
1 190 7121.61
1 191 -47569.5
1 192 20278.5
1 193 42071.9
1 194 -31988.4
1 195 -22625.1
1 196 -23465.5
1 197 -36413.8
1 198 30260.7
1 199 -9555.3
1 200 23854.3
2 1 16870.1
2 2 63592.9
2 3 -17544.1
2 4 7954.42
2 5 12944.1
2 6 44259.3
2 7 31198.9
2 8 -7267.05
2 9 -13819
2 10 28999
2 11 17676.2
2 12 17493.2
2 13 35252
2 14 3464.51
2 15 8457.62
2 16 -5324.34
2 17 55968.1
2 18 -37500.9
2 19 -5321.86
2 20 -33591.2
2 21 -16580.8
2 22 11292.8
2 23 -43331.1
2 24 -9448.95
2 25 -36556.7
2 26 44135.3
2 27 -19400.4
2 28 -20697.2
2 29 -7842.28
2 30 18686.5
2 31 42821.7
2 32 83963.1
2 33 39881.8
2 34 25938.2
2 35 60219.9
2 36 -59568
2 37 26317.8
2 38 -23641.4
2 39 -24005.7
2 40 -42563.1
2 41 16391.3
2 42 44131.3
2 43 34472.1
2 44 8373.89
2 45 19568.4
2 46 -46881.3
2 47 39848.8
2 48 32025.2
2 49 49434.7
2 50 -3743.37
2 51 -35829.6
2 52 -95906.5
2 53 31872.4
2 54 39378.6
2 55 -28469.5
2 56 -47833.8
2 57 4082.99
2 58 18624.3
2 59 41130.4
2 60 27134.7
2 61 49299.8
2 62 -43343.5
2 63 -24901.2
2 64 63551.8
2 65 30773
2 66 39412
2 67 47521.6
2 68 -18472.5
2 69 -25613.4
2 70 5069.31
2 71 5654.84
2 72 29447.9
2 73 20011.1
2 74 -4673.41
2 75 -29163.2
2 76 7522.89
2 77 55001.8
2 78 -67145.8
2 79 -33500.5
2 80 59391.2
2 81 16888.7
2 82 -19908.7
2 83 -12273.2
2 84 11952.2
2 85 3587.73
2 86 -35239
2 87 38436.9
2 88 24670.5
2 89 -23735.4
2 90 27210.6
2 91 1315.51
2 92 -5984.76
2 93 -26812.6
2 94 21624.8
2 95 -62553.8
2 96 -3146.01
2 97 -4333.93
2 98 -100179
2 99 -73590.6
2 100 -117103
2 101 30375.7
2 102 -17342.3
2 103 10696.3
2 104 17095.4
2 105 -42784.2
2 106 15500.9
2 107 -44211.7
2 108 -45186.8
2 109 -61170.1
2 110 -58946.8
2 111 -5601.51
2 112 47919.5
2 113 -1587.05
2 114 3368.87
2 115 2569.69
2 116 -11594.5
2 117 57854.4
2 118 -23355.1
2 119 45577.8
2 120 -31816.1
2 121 -34665.2
2 122 39036.9
2 123 -38325.7
2 124 6172.86
2 125 35273.2
2 126 14811.3
2 127 -40601.5
2 128 58645.9
2 129 -6149.23
2 130 17940
2 131 54950.8
2 132 -39505.3
2 133 41001.3
2 134 -2292.33
2 135 60235.3
2 136 27565.3
2 137 -10724.8
2 138 -84427.4
2 139 -27620.5
2 140 -9214.87
2 141 -59089.1
2 142 -69183.7
2 143 -12960.6
2 144 -61501.8
2 145 -13888.8
2 146 8955.13
2 147 -34446.1
2 148 -29495.3
2 149 8496.5
2 150 26125.9
2 151 -46129.8
2 152 13890.5
2 153 18220.5
2 154 -14703.2
2 155 12917.3
2 156 2184.95
2 157 10156.8
2 158 -1631.12
2 159 -29025.7
2 160 -25201.3
2 161 661.366
2 162 12334.9
2 163 3366.12
2 164 -5907.49
2 165 -4910.06
2 166 -21487.9
2 167 17087.9
2 168 21514.2
2 169 45460.3
2 170 -11206.2
2 171 14128.2
2 172 -7937.57
2 173 -19845.1
2 174 47964.3
2 175 45523.2
2 176 -31824.4
2 177 55540
2 178 -17058.5
2 179 30591.2
2 180 32605.1
2 181 31930.8
2 182 -1161.88
2 183 -47104.2
2 184 42421.1
2 185 21491.2
2 186 60625.4
2 187 16305.6
2 188 -12961.3
2 189 10240.9
2 190 32138.8
2 191 -1760.49
2 192 2713.32
2 193 -5293.42
2 194 35948.2
2 195 -4588.45
2 196 4216.45
2 197 -46749.6
2 198 32328.9
2 199 -39450.3
2 200 -9610.72
3 1 8745.23
3 2 21225.7
3 3 -47698
3 4 -28449.7
3 5 61342.3
3 6 16159.2
3 7 34411.6
3 8 12341.2
3 9 24499.3
3 10 -15825.7
3 11 -47095.6
3 12 -12057.4
3 13 -37694.6
3 14 26727.4
3 15 -28558.5
3 16 -82432
3 17 -5326.85
3 18 -12292.9
3 19 9987.34
3 20 -16296
3 21 -21209.1
3 22 49157.4
3 23 56893.7
3 24 -36348.1
3 25 38814.8
3 26 43201.2
3 27 -17098.9
3 28 -5666.3
3 29 -5639.79
3 30 -1719.03
3 31 10289.3
3 32 31018.4
3 33 48543.2
3 34 14276.5
3 35 16953.3
3 36 -967.801
3 37 72150.1
3 38 -16557.9
3 39 6147.5
3 40 12128.8
3 41 24028.4
3 42 37342.7
3 43 49522.1
3 44 36.6595
3 45 29048.7
3 46 -53136.1
3 47 5267.42
3 48 -13111.9
3 49 34780.1
3 50 -48050
3 51 -18281.9
3 52 14689.1
3 53 -32286
3 54 -10418.5
3 55 6962.84
3 56 -15903.9
3 57 41190.3
3 58 -18525
3 59 -3597.39
3 60 57300
3 61 -28384.1
3 62 8787.42
3 63 42436.3
3 64 29546.6
3 65 37135.1
3 66 -36496
3 67 6049.92
3 68 -21719.7
3 69 -13958.8
3 70 12906.4
3 71 23438.2
3 72 36055.9
3 73 -70835.9
3 74 -12682.4
3 75 -43045.6
3 76 41346.1
3 77 -9755.13
3 78 8213.59
3 79 -19735.1
3 80 34469.6
3 81 14463.9
3 82 -44675.7
3 83 -18975.2
3 84 14355.2
3 85 48626
3 86 37757.9
3 87 25758.8
3 88 -42381.9
3 89 -37996.9
3 90 -11480.8
3 91 -24108.5
3 92 -28064.7
3 93 -11043.2
3 94 8354.38
3 95 -25337.5
3 96 43395.1
3 97 -14252.3
3 98 -73756.3
3 99 15758.7
3 100 -10983.2
3 101 44603.9
3 102 -4110.56
3 103 -26937.5
3 104 33019.8
3 105 -44561
3 106 -9195.71
3 107 -19290.7
3 108 4672.71
3 109 10593.6
3 110 -12831.9
3 111 628.493
3 112 86835.7
3 113 -7074.35
3 114 54314.9
3 115 5670.3
3 116 5109.2
3 117 -14241.2
3 118 3172.29
3 119 7707.62
3 120 12473.8
3 121 -30149.6
3 122 8958.22
3 123 -16453.6
3 124 18790
3 125 22641.8
3 126 -5825.18
3 127 -39437.8
3 128 17263.1
3 129 -27636.8
3 130 -44825.9
3 131 -9628.02
3 132 33823.5
3 133 61386
3 134 1750.55
3 135 44313.7
3 136 36738.8
3 137 -39279.3
3 138 28387.2
3 139 -18499.3
3 140 6302.75
3 141 35318
3 142 10843
3 143 4803.82
3 144 4854.21
3 145 52584
3 146 -37997.8
3 147 -104620
3 148 -38148.8
3 149 -11075.8
3 150 11214.6
3 151 -8317.68
3 152 55354.2
3 153 25907.8
3 154 -4211.16
3 155 37313
3 156 -13078.7
3 157 12082.4
3 158 -13482.5
3 159 -5677.09
3 160 -84328.4
3 161 -43116.4
3 162 -13703.1
3 163 51853.6
3 164 31613.5
3 165 -41442.7
3 166 -14050.7
3 167 3937.55
3 168 36861.6
3 169 2746.53
3 170 30045.8
3 171 -13621.4
3 172 -11531.7
3 173 -23745.4
3 174 -33774.1
3 175 52893.8
3 176 -571.459
3 177 32910.5
3 178 -41084.5
3 179 44344.9
3 180 16402.5
3 181 21005.8
3 182 4343.41
3 183 -39367
3 184 -27707.4
3 185 -5127.07
3 186 -5938.31
3 187 175.088
3 188 -3202.8
3 189 -42964.2
3 190 71214.1
3 191 9898.08
3 192 28103
3 193 5645.14
3 194 -27054.1
3 195 -33609.5
3 196 -32448.9
3 197 21145
3 198 13025.1
3 199 2595.2
3 200 -3577.65
4 1 -9564.5
4 2 30575.2
4 3 57325.5
4 4 -22189.2
4 5 -14389.9
4 6 13686.1
4 7 22635.8
4 8 -9970.43
4 9 -39326.4
4 10 -7230.41
4 11 883.734
4 12 21220.3
4 13 -52144
4 14 17534.7
4 15 49367.6
4 16 -74594.5
4 17 -28757.1
4 18 14196
4 19 34756.1
4 20 -13639.8
4 21 -10812.2
4 22 76054.1
4 23 -19485.9
4 24 38785.4
4 25 45975.5
4 26 15939.9
4 27 45296.3
4 28 -10438.1
4 29 18438.3
4 30 21167
4 31 2918.88
4 32 -14824.1
4 33 6985.95
4 34 27910.2
4 35 67317
4 36 -31238.7
4 37 -46502.7
4 38 33136.5
4 39 -25199.4
4 40 -23133.7
4 41 7561.62
4 42 -2952.47
4 43 -21858.9
4 44 40603.1
4 45 -23988.9
4 46 36927.5
4 47 489.247
4 48 -2.16066
4 49 -28677.7
4 50 23503.5
4 51 18273.7
4 52 -19274.4
4 53 11346.9
4 54 6175.39
4 55 -22362.6
4 56 -46874.2
4 57 -57892.8
4 58 -2961.26
4 59 9482.68
4 60 8233.91
4 61 4217.49
4 62 8081.09
4 63 -41715.8
4 64 -7161.51
4 65 45252
4 66 -33676.3
4 67 70579.5
4 68 -48651.7
4 69 -16046.5
4 70 12254.3
4 71 -15600.5
4 72 -12718.9
4 73 -6982.63
4 74 -43786.4
4 75 38780.5
4 76 10998.7
4 77 53442.4
4 78 -14536.4
4 79 -28594.2
4 80 -35775.6
4 81 -9898.55
4 82 -59321.2
4 83 -67347.2
4 84 -31275.4
4 85 10668.5
4 86 -16290.3
4 87 -2469.95
4 88 25426.1
4 89 13784.3
4 90 18017.8
4 91 36537.3
4 92 25831.3
4 93 -43156.7
4 94 -15345.5
4 95 -14096.8
4 96 -2881.24
4 97 -22938.6
4 98 23156.2
4 99 -45215.5
4 100 -31376.4
4 101 -22621.5
4 102 39423.8
4 103 -57765.5
4 104 44429
4 105 -18279.3
4 106 271.583
4 107 -33659.3
4 108 -5715.59
4 109 -38398.6
4 110 4185.57
4 111 -47828.9
4 112 15729.3
4 113 -30439.1
4 114 -16692.1
4 115 36845.8
4 116 31270.2
4 117 23972.7
4 118 -15442.3
4 119 71195.8
4 120 -25643.1
4 121 69141.5
4 122 47783.5
4 123 -2470.22
4 124 10591.6
4 125 14115.3
4 126 69798.4
4 127 -54277.1
4 128 8133.16
4 129 21196.8
4 130 -47319.9
4 131 514.807
4 132 -9718.79
4 133 3091.39
4 134 -73319.2
4 135 -35647.3
4 136 -892.995
4 137 5460.66
